"1. On a scale of 1-5, how actively are you involved in the Cardano ecosystem?",2. What role/s do you have within the Cardano community (select all that apply)?,3. How long have you been engaged with Cardano?,4. Please indicate your level of experience with Cardano:,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Development of our core infrastructure]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Research and development]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Marketing and ecosystem growth]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Innovation and grants (e.g. Catalyst)]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Regulatory compliance and governance]",6. Which areas do you believe should receive the most funding in the upcoming budget? (Select up to three),"6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Development of our core infrastructure]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Research and development]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Marketing and ecosystem growth]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Innovation and grants (e.g. Catalyst)]","7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Regulatory compliance and governance]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [On-chain Governance support]",7. Are there specific technologies or platforms you believe Cardano should adopt/integrate/consider?,9. Do you think Cardano should allocate budget for global outreach and adoption in developing countries?,10. Should funds be allocated to support third-party developers and startups building on Cardano?,8. What percentage of the budget should be reserved for unforeseen opportunities or emergencies?,9. How would you prefer to participate in budget decision-making? (Select all that apply),"10. How much would you like to participate (through committees, working groups and async discussions/research) ?",11. How important is transparency in the budget process to you?,12. How familiar are you with the budget process at Intersect and the budget committee’s progress (see here for more information)?,13. What are the top three projects or initiatives you would like to see funded in the next budget cycle?,14. Are there any areas you feel are currently overfunded and could receive less emphasis?,"15. On the other hand, are there any areas you feel are currently underfunded and could receive greater emphasis?",16. What challenges do you believe are most critical for Cardano to address with its budget?,"17. Are you currently participating in a committee, working group or special interest group?",18. How frequently would you like to receive updates on budget allocation and spending?,19. What level of detail would you prefer to receive?,20. Which communication channels do you prefer for receiving updates on budget and financial activities? (Select all that apply),21. Do you have any additional comments or suggestions regarding the budget planning process or funding allocation for Cardano?,Which region do you primarily reside in?,"7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Innovation and funding (i.e. Catalyst)]",Please acknowledge that you have read and agreed to our Privacy Policy?,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [On-chain governance support]"
5,"On-chain governance (DRep, ICC, SPO)",2 - 5 years,Expert,1,3,2,5,,,1,3,2,5,,4,USDC or USDT,,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys",10+ hours per month,5,Somewhat familiar,I don’t know enough,Catalyst,User rewards ,Build a sustainable governance model that isn’t too costly or political,"No, but would like to",Monthly,Both high-level and detail,All the above,"I strongly think we should start small and grow over time. Try to report and withdraw budget for 1 month and see how it goes. Then 2 months, then 3 months. Or whatever is needed based on learnings.",North America,,I agree,4
4,Community organizer,2 - 5 years,Intermediate,5,4,3,2,,,5,4,1,3,,2,"I would want data about Cardano that's now on Amazons' webservers, to be hosted by our own Iagon solution, so that our data is decentralized.",,,11% - 15%,Providing feedback through surveys,1-9 hours per month,5,Not familiar,"Input Indorsers, quantum resistence, Hydra",I don't know,Marketing,Scaling and adoption,"No, but would like to",Quarterly,Both high-level and detail,Webinars or live streams,I want more transparency on the current spending to make an informed desicion in order to decide what the budget in the future should look like.,Europe,,I agree,1
3,"End user, On-chain governance (DRep, ICC, SPO)",2 - 5 years,Advanced,5,3,2,1,,,5,3,2,1,,4,decentralized,,,5% - 10%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,protocol update,marketing,dapp store,budget can't used to voting.and budget is not expenditure.can use contracts control expenditure.i don't know its possible to implement this technology.,"No, and not interested or have enough time",Only when major changes occur,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above, ",can be stake voting. ,Asia,,I agree,4
5,End user,Over 5 years,Advanced,5,4,3,2,,,5,4,2,3,,1,,,,More than 15%,Providing feedback through surveys,10+ hours per month,5,Neutral,Support to the projects which increase on chain activity.,Need to reduce dependency on only one team i.e IOG for all the research and development.,"Alternate client and Grants to projects which can bring liquidity, on chain activity and stable coins.","Sustainability of treasury is as important as any, as Ada is a non inflationary and fixed supply coin we can't use more than 15-20% of the treasury every year for Opex.","No, but would like to",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,Please spread education on how Interesect is a seperate entity and has no strings attached with a for profit entity which is IOG. And please spend time and efforts to explain the community for a Centralised organisation set-up was required to support a Decentralised ecosystem like Cardano.,Asia,,I agree,1
3,"Builder (part of DApp or project), End user, Content creator / educator",2 - 5 years,Intermediate,1,4,2,5,,,1,4,2,5,,3,Basic accounting software for enterprise businesses. Tax accounting. Stable coin integration. If we want adoption Cardano needs these things at a minimum.,,,11% - 15%,Serving on committees or working groups,1-9 hours per month,5,Somewhat familiar,"1) Finish Cardano Basho roadmap ASAP
2) Stable coin Integrations
3) Marketing Campaign for Enterprise Businesses (US Banks & Fortune 500 as promised in 2021 Cardano Summit)",No,"Cardano wallets are lacking. We can't hold other cryptos on our Cardano wallets, cannot convert to fiat or stable coins, cannot export transaction details in the format of a bank ledger. Lace isn't even a mobile app yet, how can we expect mass adoption without tax accounting applications?","Cardano users want transparency of budget and accountability for Treasury withdrawals. There needs to be a system by which users and DReps can view how budget is allocated before proposals start coming in, especially from Intersect or governance bodies.",I would like to but unsure of how to join or participate,Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,"Thank you for putting on the hard work to make Cardano great. Some individuals have significant personal obligations. and wish I could spend more time being involved, but all of the live budget meetings are at 5am PST and that makes it hard for me to contribute.",North America,,I agree,3
3,"Content creator / educator, Community organizer, SPO",2 - 5 years,Advanced,2,3,1,5,,,2,4,1,5,,3,USDC,,,More than 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",1-9 hours per month,5,Not familiar,"Fluidtokens, Xerberus, Minswap",No idea,Marketing,Transparency,"No, but would like to",Quarterly,Both high-level and detail,"Email newsletters, Official website updates, Webinars or live streams",No,Europe,,I agree,4
5,"Developer, Builder (part of DApp or project), End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,5,2,4,3,,,5,2,4,3,,1,"Zk, Algorithmic law to replace the constitution",,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys, Serving on committees or working groups",10+ hours per month,5,I have not engaged,"Alternative node implementations, Lios ",No this is your first year,Alternative Node implementations,Marketing,"No, but would like to",Monthly,"Granular detail; reports, audits, meeting minutes etc","Email newsletters, Official website updates, Social media platforms",Good luck,Europe,,I agree,1
2,End user,2 - 5 years,Intermediate,1,2,5,4,,,1,2,5,4,,3,"Midnight, Ouroboros leios, BitcoinOS development and implementation.",,,11% - 15%,"Voting on proposals (as a DRep), Or delegating to chosen Drep that has same views.",1-9 hours per month,2,Somewhat familiar,"Midnight, Ouroboros, Marlowe",No,IOHK,Importance of funding core developers and researchers at IOHK.,"No, but would like to",Annually,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates",I would like to emphasize on Importance of funding core developers and researchers at IOHK.,Europe,,I agree,3
3,"End user, participated in constitutional workshop",2 - 5 years,Intermediate,4,3,1,5,,,4,3,1,5,,2,Work towards BtcOS implementation. ,,,5% - 10%,All of the above,1-9 hours per month,4,Not familiar,Ecosystem MKTG. Biz Development. Fortune 500 Customer Acquisition.,Not sure,Biz Development. We should have salespeople identifying b2b prospects and engaging them.,Market Adoption.,I would like to but unsure of how to join or participate,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,"you flipped the 1 to 5 scale in this survey. on one page, 1 was most important. on another page, 5 was most important. stick to one representation for the entire survey.",North America,,I agree,2
3,"Developer, End user",2 - 5 years,Intermediate,2,1,5,3,,,3,5,1,2,,4,Integration with Bitcoin through bitcoin OS. Work with Bobby Kennedy on restructuring healthcare with Cardano as the backbone of the system.,,,5% - 10%,Providing feedback through surveys,1-9 hours per month,3,Neutral,"Feasibility of BitcoinOS, stablecoin with sufficient liquidity on Cardano, ...",nope,I'm unsure,That the ADA is spend well. We should ensure the community has enough knowledge of the impact of certain choices they make with their vote.,I would like to but unsure of how to join or participate,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms, Webinars or live streams",nope,Europe,,I agree,4
3,"Developer, On-chain governance (DRep, ICC, SPO)",2 - 5 years,Intermediate,1,3,2,4,,,1,2,4,3,,5,Application de sondages  mis à disposition des partis politiques pour interroger leur adhérents.,,,11% - 15%,Voting on proposals (as a DRep),1-9 hours per month,5,Neutral,"Possibilité d'intégrer du BTC dans le trésor, recherche et développement dans le scaling, marketing par le biais de partenariats voir l'achat ou participations dans des sociétés stratégique pour Cardano ( médias, sondages, betting...)",Pas d'avis pour l'instant.,Intégration et développement de la communauté.,Passer à l'échelle.,Malheureusement pas anglophone.,Monthly,Both high-level and detail,"Official website updates, Social media platforms, Webinars or live streams","je préfère un budget serré avec possibilité d'un budget rectificatif en cours d'année, plutôt qu'avoir la main trop lourde par peur de ne pas le boucler.",Europe,,I agree,5
5,"On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc), COO Cardano Foundation",2 - 5 years,Intermediate,5,4,1,2,,,4,5,1,2,,3,"Interoperability, alternate Nodes",,,Less than 5%,"Voting on proposals (as a DRep), Participating in focus groups or workshops",1-9 hours per month,5,Somewhat familiar,"Stablecoin integration, Alternate node, Leios","Catalyst, Marketing","Research, Development",Not to overspend and focus on MVP,"Yes, one committee, working group or special interest group",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Webinars or live streams","We need link the budget with the constitution. currently this is not covered well enough. Futhermore we should focus only on the main topics; Maintain Cardano, Research, Development. All the other elements should be part of a separate budget.",Europe,,I agree,3
4,"Developer, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,5,2,4,1,,,5,4,3,2,,1,,,,5% - 10%,"Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Neutral,"Stablecoins, dev tooling, mithril",hard to say,"Full node wallets, dApp development learning materials.","I want to see how well governance works over the period of time, making sure it doesn't create risks or attack vectors.","Yes, one committee, working group or special interest group",Only when major changes occur,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms",no,Europe,,I agree,3
3,End user,2 - 5 years,Intermediate,1,2,5,3,,,1,2,3,4,,5,"Babel fees for the bitcoinOS bridge implementation. Leios. Midnight and Minotaur.
Importance sorted by first = most important.",,,More than 15%,"Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,The specification and implementation of Leios. Babel fees and getting midnight up and running.,There are no statistics of my knowledge where I can see how much and what is being funded currently. If it exists it would be nice if theres was a direct link next to this question. (even for upcoming ones in the future),as stated on nr.14,"1. Getting people up to speed to actually learn and understand the ""why's"" of proposed decisions right of the bat, to mitigate people speculating and misinterpret some proposals/decisions.

2. How CDF actually operates and be more proactive on social media (X and Youtube) about it.

3. When posting about budget proposals, if its not voted for already, make a disclaimer that it is not set in stone.","No, but would like to",Monthly,Both high-level and detail,"Official website updates, Social media platforms",-,Europe,,I agree,4
